Title,Lenght,Other
Data Scientist,4,"['Senior', 'Statistician']"
Data Scientist,6,"['Sr', 'Top', 'Secret', '']"
Data Scientist,11,"['Bethesda', 'Md', 'Must', 'have', 'TS', 'SCI', 'with', 'Polygraph', '']"
Data Scientist,4,"['Senior', 'ML']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Level', 'I']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Sr']
Data Scientist,3,['Developer']
Data Scientist,4,"['Mid', 'Level']"
Data Scientist,4,"['Foreign', 'Investment']"
Data Scientist,4,"['NLP', 'Consultant']"
Data Scientist,3,['Senior']
Data Scientist,4,"['Machine', 'Learning']"
Data Scientist,6,"['Machine', 'Learning', 'Senior', 'Consultant']"
Data Scientist,5,"['Computational', 'Senior', 'Consultant']"
Data Scientist,3,['Sr']
Data Scientist,8,"['Top', 'Secret', 'SCI', 'with', 'Polygraph', '']"
Data Scientist,6,"['with', 'TS', 'SCI', 'Clearance']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Data Scientist,4,['Analyst']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Principal']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,5,"['Mid', 'Level', '']"
Data Scientist,3,['Senior']
Data Scientist,5,"['Acquisitions', 'Clearance', 'Required']"
Data Scientist,5,"['TS', 'SCI', 'FSP']"
Data Scientist,4,"['i360', '']"
Data Scientist,3,['Sr']
Data Scientist,3,['Senior']
Data Scientist,3,['Cybersecurity']
Data Scientist,5,"['Informatics', 'Application', 'Developer']"
Data Scientist,3,['Mission']
Data Scientist,2,[]
Data Scientist,3,['Expert']
Data Scientist,4,"['Defense', 'Intelligence']"
Data Scientist,4,"['Lead', 'AI']"
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,8,"['Sr', 'w', 'TS', 'SCI', 'and', 'polygraph']"
Data Scientist,3,['Senior']
Data Scientist,8,"['Senior', 'Python', 'knowledge', 'Cleared', 'position', '']"
Data Scientist,8,"['TS', 'SCI', 'FSP', 'or', 'CI', 'Required']"
Data Scientist,2,[]
Data Scientist,3,['Architect']
Data Scientist,2,[]
Data Scientist,4,"['Innovation', 'Applied']"
Data Scientist,3,['Senior']
Data Scientist,7,"['Active', 'Top', 'Secret', 'is', 'required']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Software', 'Engineer']"
Data Scientist,3,['Principal']
Data Scientist,5,"['Full', 'Stack', 'Senior']"
Data Scientist,3,['Instructor']
Data Scientist,2,[]
Data Scientist,3,['Principal']
Data Scientist Scientist,5,"['Sr', 'Computer']"
