index,location,Actual_jobs,Actual_jobs_first
1044,"La Macaza, QC",12,1
913,"Mistissini, QC",12,1
647,"Lachenaie, QC",12,1
2422,"Alert Bay, BC",12,1
667,"Saint-Nicolas, QC",12,1
1433,"Norwood, ON",12,1
449,"Saint-Césaire, QC",12,1
286,New Brunswick,12,1
1983,"Kananaskis, AB",12,1
233,"Chester, NS",12,1
1570,"Stayner, ON",12,1
1320,"LaSalle, ON",12,1
1897,"Rocky View, AB",12,1
519,"Saint-Roch-de-l'Achigan, QC",12,1
1,"Prince Edward Island, PE",12,1
1240,"Bradford West Gwillimbury, ON",12,1
1880,"Sundre, AB",12,1
431,"Westmount, QC",12,1
486,"Waterville, QC",12,1
1450,"Marmora, ON",12,1
1756,"Ear Falls, ON",12,1
583,"Palmarolle, QC",12,1
1817,"Hemlo, ON",12,1
1429,"Bobcaygeon, ON",12,1
462,"Beauharnois, QC",11,1
1596,"Chesley, ON",11,1
847,"Tadoussac, QC",11,1
1962,"Onoway, AB",11,1
244,"Dartmouth Crossing, NS",11,1
692,"Saint-Augustin-de-Desmaures, QC",11,1
682,"Saint-henri-de-levis, QC",11,1
1679,"Waterdown, ON",11,1
100,"Moncton Area, NB",11,1
493,"Rivière-des-Prairies, QC",11,1
1219,"Bowmanville, ON",11,1
1243,"East Gwillimbury, ON",11,1
1881,"Chestermere, AB",11,1
2101,"La Crête, AB",11,1
744,"Centre-du-Québec, QC",11,1
2091,"Strathmore, AB",11,1
718,"Adstock, QC",11,1
571,"Lebel-sur-Quévillon, QC",11,1
148,"Bridgetown, NS",11,1
614,"Saint-donat, QC",11,1
418,"Saint Andrews, NB",11,1
2071,"Provost, AB",11,1
578,"Abitibi-Témiscamingue, QC",11,1
1385,"Paris, ON",10,1
1218,"Greater Toronto Area, ON",10,1
300,"Saint-Elzéar, QC",10,1
659,"Beaconsfield, QC",10,1
170,"Western Shore, NS",10,1
499,"Coaticook, QC",10,1
1828,"Moosonee, ON",10,1
1366,"Simcoe, ON",10,1
2345,"Colwood, BC",10,1
2468,"Norman Wells, NT",10,1
1169,"Hamel, QC",10,1
2382,"Okanagan Falls, BC",10,1
845,"Rigaud, QC",10,1
473,"Saint-Rémi, QC",10,1
2365,"Tumbler Ridge, BC",10,1
2184,"Spirit River, AB",10,1
1282,"Cookstown, ON",10,1
1285,"Fergus, ON",10,1
849,"Sainte-Anne-des-Monts, QC",10,1
1289,"Harriston, ON",10,1
2362,"Moberly Lake, BC",10,1
380,"Hartland, NB",10,1
1733,"Garson, ON",10,1
2102,"Fort Vermilion, AB",10,1
1654,"Dunnville, ON",10,1
234,"Fall River, NS",10,1
238,"Upper Tantallon, NS",10,1
1034,"Saint-Martin, QC",10,1
541,"Charlevoix, QC",10,1
722,"Saint-Isidore, QC",10,1
351,"Kincardine, NB",10,1
2004,"Milk River, AB",10,1
1623,"Clinton, ON",10,1
26,"Stratford, PE",10,1
974,"Carp, ON",10,1
961,"Baie-sainte-catherine, QC",10,1
957,"Buckingham, QC",10,1
477,"Saint-Basile-le-Grand, QC",10,1
807,"Chelsea, QC",10,1
1681,"Beamsville, ON",10,1
1329,"Dresden, ON",10,1
271,"Lakeside, NS",10,1
16,"Cap-Pelé, NB",9,9
700,"Saint-Gédéon-de-Beauce, QC",9,9
759,"Sorel, QC",9,9
822,"Wakefield, QC",9,9
426,"Knowlton, QC",9,9
372,"Waasis, NB",9,9
319,"Nouvelle, QC",9,9
2392,"Ashcroft, BC",9,9
469,"Acton Vale, QC",9,9
832,"Notre-dame-de-l'ile-perrot, QC",9,9
35,"New Annan, PE",9,9
774,"Saint-Narcisse, QC",9,9
813,"Ottawa West, ON",9,9
466,"Delson, QC",9,9
1270,"Tottenham, ON",9,9
474,"Farnham, QC",9,9
1435,"Fenelon Falls, ON",9,9
2233,"Squamish, BC",9,9
920,"Mattawan, ON",9,9
270,"Atlantic, NS",9,9
268,"Barrington Passage, NS",9,9
1910,"Rimbey, AB",9,9
152,"Hebbville, NS",9,9
2352,"Cowichan, BC",9,9
2267,"Chase, BC",9,9
144,"Annapolis Royal, NS",9,9
535,"Dolbeau, QC",9,9
119,"Coldbrook, NS",9,9
2089,"Mayerthorpe, AB",9,9
617,"Pincourt, QC",9,9
2034,"Hardisty, AB",9,9
93,"Wallace, NS",9,9
509,"Windsor, QC",9,9
2201,"Hythe, AB",9,9
79,"Souris, PE",9,9
1786,"Geraldton, ON",9,9
855,"Saint-Gabriel-de-Brandon, QC",9,9
1197,"Nipissing, North, ON",9,9
1277,"Ayr, ON",9,9
1795,"Mildmay, ON",9,9
304,"Baie des Chaleurs, QC",9,9
2238,"White Rock, BC",9,9
890,"Saint-Tite, QC",9,9
1109,"Saint-Michel-des-Saints, QC",8,8
770,"Saint-Germain-de-Grantham, QC",8,8
2147,"Manning, AB",8,8
749,"Plessisville, QC",8,8
2119,"Foothills, AB",8,8
752,"Saint-ubalde, QC",8,8
1332,"Tilbury, ON",8,8
2196,"Rycroft, AB",8,8
1105,"Val-david, QC",8,8
2448,"New Aiyansh, BC",8,8
2025,"Hanna, AB",8,8
1392,"Elmira, ON",8,8
1918,"Bow Island, AB",8,8
996,"Pakenham, ON",8,8
1556,"Clarksburg, ON",8,8
854,"Saint-Esprit, QC",8,8
1770,"Rainy River, ON",8,8
862,"Grand-mere, QC",8,8
1272,"Schomberg, ON",8,8
2284,"Chemainus, BC",8,8
1735,"Street, ON",8,8
2277,"Okanagan, BC",8,8
819,"Manotick, ON",8,8
1846,"Balmertown, ON",8,8
1707,"Detour Lake, ON",8,8
2265,"Lumby, BC",8,8
1917,"Suffield, AB",8,8
801,"Aylmer, QC",8,8
977,"Îles-de-la-Madeleine, QC",8,8
1303,"Elora, ON",8,8
1963,"Beaumont, AB",8,8
1216,Ontario,8,8
2182,"Leader, SK",8,8
1236,"Stouffville, ON",8,8
390,"Nackawic, NB",8,8
632,"Englehart, ON",8,8
101,Nova Scotia,8,8
339,"Saint-leonard, NB",8,8
498,"Montréal-Ouest, QC",8,8
451,"Richmond, QC",8,8
293,"Lugar, NB",8,8
482,"Sainte-Catherine, QC",8,8
314,"Port-Daniel--Gascons, QC",8,8
12,"O'Leary, PE",8,8
171,"Saint John East, NB",8,8
236,"Mount Uniacke, NS",8,8
503,"Napierville, QC",8,8
66,"Baie-ste-anne, NB",8,8
53,"Bay Du Vin, NB",7,7
481,"Côte-Saint-Luc, QC",7,7
2110,"Falher, AB",7,7
2309,"Coombs, BC",7,7
803,"Barrhaven, ON",7,7
1048,"Bois-Franc, QC",7,7
454,"Waterloo, QC",7,7
312,"Port-daniel, QC",7,7
2411,"Nanoose Bay, BC",7,7
2356,"North Saanich, BC",7,7
1333,"Ruthven, ON",7,7
2153,"Swan Hills, AB",7,7
1253,"Unionville, ON",7,7
298,"Tracadie-Sheila, NB",7,7
2065,"Elk Point, AB",7,7
1989,"Killam, AB",7,7
690,"L'Ancienne-Lorette, QC",7,7
1153,"Embrun, ON",7,7
2032,"Daysland, AB",7,7
2053,"Aldersyde, AB",7,7
1921,"Vulcan, AB",7,7
1916,"Redcliff, AB",7,7
678,"Cap-Saint-Ignace, QC",7,7
1708,"Iroquois Falls, ON",7,7
1892,"Three Hills, AB",7,7
2386,"Cawston, BC",7,7
269,"Barrington, NS",7,7
548,"Saint-Ambroise, QC",7,7
677,"Beauport, QC",7,7
288,"Shippagan, NB",7,7
2080,"Parkland County, AB",7,7
1124,"Saint-Jean-Chrysostome, QC",7,7
1737,"Sudbury, North, ON",7,7
860,"Rawdon, QC",7,7
1441,"Tweed, ON",7,7
2324,"Rossland, BC",7,7
1528,"Blind River, ON",7,7
373,"Florenceville, NB",7,7
1555,"Flesherton, ON",7,7
754,"Kingsey Falls, QC",7,7
2458,"Dawson, YT",7,7
909,"Saint-Adolphe-d'Howard, QC",7,7
