Expected_jobs,Actual_jobs,City,State
17914,0,Franklin,Wisconsin
278,0,Blue River,Wisconsin
103,7,Montreal,Wisconsin
5412,20,West Bend,Wisconsin
12031,2,Elmwood Park,Wisconsin
1544,3,Athens,Wisconsin
3958,6,New Richmond,Wisconsin
437,8,Baileys Harbor,Wisconsin
6612,0,Merrimac,Wisconsin
7783,0,Oregon,Wisconsin
825,2,Downing,Wisconsin
68,12,Catawba,Wisconsin
428,0,Bowler,Wisconsin
1204,1,Wisconsin Rapids,Wisconsin
1656,6,Cuba City,Wisconsin
201,7,Webster,Wisconsin
514,0,Lone Rock,Wisconsin
865,4,Pittsville,Wisconsin
7481,3,Shorewood Hills,Wisconsin
