location,Actual_jobs
"Rivière-du-Loup, QC",221
"Baie-sainte-catherine, QC",10
"Saint-alexandre-de-kamouraska, QC",4
"Saint-philippe-de-neri, QC",5
"Trois-Pistoles, QC",7
"Saint-simeon, QC",2
"Cacouna, QC",3
"Saint-denis-de-la-bouteillerie, QC",1
"Notre-dame-du-portage, QC",4
"Sacré-Coeur, QC",1
"Grandes-bergeronnes, QC",1
"Saint-Mathieu-de-Rioux, QC",1
"Saint-Fabien, QC",1
"Baie-Sainte-Catherine, QC",1
"Carp, ON",10
"Saint-isidore-de-laprairie, QC",1
"La Rivière, QC",1
"Îles-de-la-Madeleine, QC",8
"Cap-aux-Meules, QC",4
"Les Îles-de-la-Madeleine, QC",2
"L'Étang-du-Nord, QC",1
"Gaspé, QC",57
"Perce, QC",4
"Grande-riviere, QC",3
"Nord-du-Québec, QC",3
"Chalk River, ON",18
"Petawawa, ON",27
"Outaouais, QC",19
"Deep River, ON",19
"Head, ON",6
"Marche, QC",4
"Fort-Coulonge, QC",1
"Eganville, ON",6
"Cobden, ON",5
"Pine Valley, ON",1
"La Pêche, QC",4
"Pakenham, ON",8
"Lemay, QC",3
"Quyon, QC",3
"Dunrobin, ON",2
"Calabogie, ON",5
"Barry's Bay, ON",6
"Wilberforce, ON",1
"Shawville, QC",3
"Pontiac, QC",4
"Combermere, ON",1
"Braeside, ON",5
"Wabash, QC",1
"Foresters Falls, ON",6
"Master, ON",1
"Campbell's Bay, QC",3
"Haley Station, ON",1
